"id","question_text","opt1","opt2","opt3","opt4","reason1","reason2","reason3","reason4","concept","prereqs","a_vector","d_param","correct_option","status","review_notes","content_validated","misconception_validated","concept_id","prereq_ids","skill_vector","question_type","difficulty_tier","estimated_time_sec","item_exposure_limit","version","z1","z2","z3","z4"
"NCERT_EffNucCharge_01","What is meant by effective nuclear charge (Z_eff) experienced by an electron in a multi-electron atom?","The actual nuclear charge (Z) plus the shielding constant (σ).","The actual nuclear charge (Z) divided by the atomic radius.","The actual nuclear charge (Z) minus the shielding constant (σ).","The actual nuclear charge (Z) multiplied by the principal quantum number (n).","Incorrect. Shielding reduces the nuclear pull, so it is subtracted, not added.","Incorrect. Z_eff is a measure of net nuclear pull, not directly Z divided by radius.","Correct. Z_eff = Z - σ, where σ represents the shielding effect due to inner electrons.","Incorrect. The principal quantum number affects the distance but does not directly multiply Z.","Effective Nuclear Charge","None (Foundation Concept)","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-1.2","3","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","conceptual","easy","100","150","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NCERT_EffNucCharge_02","Which of the following correctly represents the trend of effective nuclear charge (Z_eff) across a period (left to right) in the periodic table?","Z_eff remains constant because the number of shells remains the same.","Z_eff decreases due to increased shielding.","Z_eff increases because the nuclear charge increases while shielding increases only slightly.","Z_eff increases sharply after each noble gas.","Incorrect. The nuclear charge increases, and shielding does not increase proportionally, so Z_eff increases.","Incorrect. Z_eff actually increases because the added electrons go into the same shell, offering poor shielding.","Correct. As we move left to right, atomic number increases, electrons are added to the same shell, and the shielding by inner electrons remains nearly constant, so Z_eff increases.","Incorrect. Z_eff increases gradually across the period, not only after noble gases.","Effective Nuclear Charge","None (Foundation Concept)","[1.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-1.0","3","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","conceptual","easy","100","150","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NCERT_EffNucCharge_03","The effective nuclear charge experienced by a 3d electron in copper (Z=29) is higher than that experienced by a 3d electron in nickel (Z=28) because:","Nickel has a higher shielding constant.","Copper has a larger atomic radius.","Copper has a higher nuclear charge and similar shielding.","Copper has more electrons in the 3d subshell.","Incorrect. Shielding constant increases only slightly; the main factor is higher Z.","Incorrect. Larger atomic radius would correspond to lower Z_eff, not higher.","Correct. The increase in nuclear charge (+1) while the shielding from inner electrons remains nearly the same leads to a higher Z_eff in copper.","Incorrect. More 3d electrons slightly increase shielding, but the net Z_eff is still higher due to higher Z.","Effective Nuclear Charge","None (Foundation Concept)","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-0.8","3","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","conceptual","core","110","100","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NCERT_EffNucCharge_04","Which of the following orbitals experiences the highest effective nuclear charge in a multi-electron atom (for the same n)?","f orbital","s orbital","p orbital","d orbital","Incorrect. f orbitals have the poorest penetration and thus the lowest Z_eff.","Correct. s orbitals have the highest penetration ability, so they experience a greater Z_eff.","Incorrect. p orbitals penetrate less than s, so they feel a lower Z_eff.","Incorrect. d orbitals penetrate even less than p, so they feel an even lower Z_eff.","Effective Nuclear Charge","None (Foundation Concept)","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-1.1","2","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","conceptual","easy","60","150","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NCERT_EffNucCharge_05","The effective nuclear charge for the outermost electron of sodium (Na) is approximately: (Given: Z=11, shielding constant for 3s electron ≈ 10)","3","2","1","11","Incorrect. Z_eff of 3 would require σ = 8, not realistic for Na.","Incorrect. That would be Z_eff = 2, which would require σ = 9; but shielding from 10 inner electrons is nearly complete.","Correct. Z_eff ≈ Z - σ = 11 - 10 = 1.","Incorrect. This is the actual nuclear charge, ignoring shielding.","Effective Nuclear Charge","None (Foundation Concept)","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-1.0","3","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","conceptual","easy","60","150","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NCERT_EffNucCharge_06","Which of the following statements about effective nuclear charge (Z_eff) is correct?","Z_eff for a 2p electron is always higher than for a 2s electron in the same atom.","Z_eff is the same for all electrons in a given atom.","Z_eff decreases down a group due to increased shielding.","Z_eff is always equal to the atomic number for hydrogen-like species.","Incorrect. The 2s orbital penetrates more than 2p, so it experiences a higher Z_eff.","Incorrect. Different electrons have different shielding and penetration, so Z_eff varies.","Incorrect. Down a group, the number of shells increases, shielding increases, so Z_eff for valence electrons decreases.","Correct. For hydrogen-like species (single electron), σ=0, so Z_eff = Z.","Effective Nuclear Charge","None (Foundation Concept)","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-0.9","4","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","conceptual","core","120","100","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NCERT_EffNucCharge_07","The effective nuclear charge (Z_eff) for the outermost electron of potassium (K) is less than that of sodium (Na) because:","Potassium has a larger atomic radius.","Potassium has a higher principal quantum number and more inner shells, increasing shielding.","Potassium has more electrons in the outermost shell.","Potassium has a larger atomic number.","Incorrect. Larger atomic radius is a consequence, not the cause.","Correct. The outermost electron of K is in the 4s orbital, with 18 inner electrons (1s²2s²2p⁶3s²3p⁶) providing more shielding than Na's 10 inner electrons.","Incorrect. The number of outermost electrons does not directly affect Z_eff; shielding does.","Incorrect. Larger atomic number would increase Z_eff, but shielding dominates.","Effective Nuclear Charge","None (Foundation Concept)","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-1.0","2","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","conceptual","easy","95","150","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NCERT_EffNucCharge_08","In which of the following pairs does the first element have a higher effective nuclear charge for its valence electron?","Be and B","Li and Be","N and O","F and Ne","Incorrect. B has higher Z (5) than Be (4), and both have n=2, so B has higher Z_eff.","Correct. Be has higher Z (4) than Li (3), and both have electrons in n=2, so Be has higher Z_eff.","Incorrect. O has Z=8, N has Z=7; O has higher Z_eff. The trend increases across period.","Incorrect. Ne has Z=10, F has Z=9; Ne has higher Z_eff. The student might think F has higher due to higher electronegativity.","Effective Nuclear Charge","None (Foundation Concept)","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-1.0","2","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","conceptual","easy","65","150","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NCERT_EffNucCharge_09","The effective nuclear charge (Z_eff) experienced by a 3s electron in an Aluminum atom (Z=13) calculated using Slaters rules is:","3.85","3.50","4.15","2.50","Incorrect. This results from failing to group the 3s and 3p electrons together as required by Slaters rules.","Correct. Configuration is (1s2)(2s2 2p6)(3s2 3p1). Shielding = (2 x 0.35) + (8 x 0.85) + (2 x 1.00) = 9.50. Z_eff = 13 - 9.50 = 3.50.","Incorrect. This value results from incorrectly omitting the 3p electron from the same-group shielding calculation.","Incorrect. This indicates a failure to properly weight the n-1 and n-2 shells.","Effective Nuclear Charge","None (Foundation Concept)","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-0.8","2","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","numerical","core","65","100","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NCERT_EffNucCharge_10","If the effective nuclear charge for the valence electron of an element is 2.2 and its atomic number is 11, what is the approximate shielding constant (σ) for that electron?","9.2","10.5","8.8","11.0","Incorrect. 11 - 2.2 = 8.8, not 9.2.","Incorrect.","Correct. Z_eff = Z - σ ⇒ σ = Z - Z_eff = 11 - 2.2 = 8.8.","Incorrect.","Effective Nuclear Charge","None (Foundation Concept)","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-1.2","3","reviewed","","True","True","Effective Nuclear Charge","None (Foundation Concept)","[1, 0, 0]","conceptual","easy","70","150","1.0","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
